Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance
Recreation,sin información,03/06/2017 12:00:00 PM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Tea Time,Local Event,Arts/Culture,Fitness,Adults;#Seniors,27.0
Recreation,sin información,03/10/2017 10:00:00 AM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Japanese Culture Program,Local Event,Arts/Culture,Play,Tot;#Children,33.0
Recreation,sin información,03/17/2017 09:00:00 AM,Brooklyn,Recreation Center,McCarren Play Center,St. Patricks Day event,Local Event,Arts/Culture,Play,Tot;#Children,80.0
Recreation,sin información,08/14/2018 08:30:00 PM,Queens,Park,Alley Pond Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,08/13/2018 08:30:00 PM,Queens,Park,Highland Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,08/12/2018 08:30:00 PM,Queens,Other,Beach 94th Street,"Movies Under the Stars ""North Shore""",Community Based Event,Mobile Unit,Movies,General Public,217.0
Recreation,sin información,08/11/2018 08:30:00 PM,Queens,Other,Beach 94th Street,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,08/10/2018 08:30:00 PM,Queens,Other,Beach 59th Street,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,08/10/2018 12:00:00 AM,Manhattan,Recreation Center,Hansborough Recreation Center,Movies Under the Stars - Malcom X,Community Based Event,Mobile Unit,Movies,Teens;#Adults;#Seniors,55.0
Recreation,sin información,08/10/2018 12:00:00 AM,Manhattan,Park,Ruppert Park,Afternoon Concert: The Blue Dahlia,Community Based Event,Performance,Music,General Public,216.0
Recreation,sin información,08/07/2018 06:00:00 PM,Manhattan,Park,Washington Square Park,Dance Away the Night Series: Strictly Tango Nights,Community Based Event,Fitness,Dance,Adults;#Seniors,175.0
Recreation,sin información,08/10/2018 08:00:00 PM,Brooklyn,Park,Msgr. McGolrick Park,"Movies Under the Stars : "" The Greatest Showman""",Community Based Event,Mobile Unit,Movies,General Public,250.0
Recreation,sin información,08/09/2018 08:00:00 PM,Brooklyn,Park,Commodore Barry Park,"Movies Under the Stars : ""Black Panther""",Community Based Event,Mobile Unit,Movies,General Public,700.0
Recreation,sin información,08/08/2018 08:00:00 PM,Brooklyn,Park,50 Kent Street,"Movies Under the Stars : Dr Strange Love""",Community Based Event,Mobile Unit,Movies,General Public,200.0
Recreation,sin información,08/05/2018 08:00:00 PM,Brooklyn,Other,Randall's Island Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,700.0
Recreation,sin información,08/10/2018 08:00:00 PM,Bronx,Park,Pelham Bay Park,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,65.0
Recreation,sin información,08/06/2018 08:30:00 PM,Queens,Park,Cunningham Park,"Movies Under the Stars: ""Black Panther""",Community Based Event,Mobile Unit,Movies,General Public,931.0
Recreation,sin información,08/10/2018 08:30:00 PM,Manhattan,Park,Twenty-Four Sycamores Park,"Movies Under the Stars: ""Peter Rabbit""",Community Based Event,Mobile Unit,Movies,General Public,99.0
Recreation,ASPCA,08/09/2018 08:30:00 PM,Manhattan,Playground,Matthew P. Sapolin Playground,"Movies Under the Stars: ""Isle of Dogs""",Community Based Event,Mobile Unit,Movies,General Public,315.0
Recreation,Council Member Rivera,08/08/2018 08:30:00 PM,Manhattan,Park,Bellevue South Park,"Movies Under the Stars: ""Wonder Woman""",Community Based Event,Mobile Unit,Movies,General Public,236.0
Recreation,sin información,08/09/2018 08:15:00 PM,Bronx,Recreation Center,West Bronx Recreation Center,Movies Under The Stars: Wonder,Community Based Event,Mobile Unit,Movies,General Public,18.0
Recreation,sin información,08/09/2018 08:30:00 PM,Queens,Park,Macneil Park,"Movies Under the Stars ""Wonder Woman""",Community Based Event,Mobile Unit,Movies,General Public,189.0
Recreation,sin información,08/08/2018 08:15:00 PM,Bronx,Park,Vidalia Park,Movies Under The Stars: The Lego Batman Movie,Community Based Event,Mobile Unit,Movies,General Public,46.0
Recreation,sin información,08/07/2018 08:15:00 PM,Bronx,Recreation Center,Owen Dolen Recreation Center,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,08/07/2018 08:30:00 PM,Queens,Park,Baisley Pond,"Movies Under the Stars ""Jumanji""",Community Based Event,Mobile Unit,sin información,General Public,0.0
Recreation,sin información,08/06/2018 08:30:00 PM,Queens,Park,Forest Park Bandshell,"Movies Under the Stars ""Beauty and the Beast""",Community Based Event,Mobile Unit,sin información,General Public,340.0
Recreation,sin información,08/05/2018 08:30:00 PM,Queens,Other,Beach 94th Street,"Movies Under the Stars ""Escape to Witch Mountain""",Community Based Event,Mobile Unit,sin información,General Public,177.0
Recreation,sin información,08/04/2018 08:30:00 PM,Queens,Playground,Paul Raimonda Playground,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,164.0
Recreation,sin información,08/04/2018 08:15:00 PM,Bronx,Park,Crotona Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,33.0
Recreation,sin información,08/04/2018 06:00:00 PM,Manhattan,Park,Inwood Hill Park,Movies Under the Stars - Valerian City of a Thousand Planets,Community Based Event,Mobile Unit,Movies,General Public,157.0
Recreation,Halen Historic Parks,08/03/2018 06:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Movies Under the Stars - The Jackie Robinson Story,Community Based Event,Mobile Unit,Movies,General Public,50.0
Recreation,Council Member Rivera,08/03/2018 12:00:00 PM,Manhattan,Park,Tompkins Square Park,Family Fun Day,Community Based Event,Family Festival,Play,General Public,415.0
Recreation,sin información,08/02/2018 11:00:00 AM,Manhattan,Park,Marcus Garvey Park,Iron Kid,Tournament/Competition,Fitness,Fitness,Children,157.0
Recreation,sin información,08/01/2018 06:00:00 PM,Manhattan,Park,De Witt Clinton Park,Movies Under the Stars - Gifted,Community Based Event,Mobile Unit,Movies,General Public,146.0
Recreation,"Strictly Tango, Washington Square Park Conservancy",07/31/2018 06:00:00 PM,Manhattan,Park,Washington Square Park,Strictly Tango at Washington Square Park Live Music,Community Based Event,Arts/Culture,Dance,Adults;#Seniors,275.0
Recreation,sin información,07/31/2018 08:00:00 PM,Manhattan,Playground,St. Nicholas Playground North,Movies Under the Stars - Justice League,Community Based Event,Mobile Unit,Movies,General Public,153.0
Recreation,sin información,08/03/2018 08:30:00 PM,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: Chariots of Fire,Community Based Event,Mobile Unit,Movies,General Public,25.0
Recreation,sin información,08/01/2018 08:30:00 PM,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: The King and I,Community Based Event,Mobile Unit,Movies,General Public,4.0
Recreation,sin información,07/19/2018 08:30:00 PM,Staten Island,Park,Westerleigh Park,Movies Under the Stars: The Lorax,Community Based Event,Mobile Unit,Movies,General Public,40.0
Recreation,sin información,07/19/2018 12:00:00 AM,Staten Island,Park,Lemon Creek Park,Movies Under the Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,175.0
Recreation,sin información,08/03/2018 08:15:00 PM,Bronx,Recreation Center,St. James Recreation Center,Movies Under The Stars: Early Man,Community Based Event,Mobile Unit,Movies,General Public,5.0
Recreation,Council Member Gibson,08/03/2018 08:15:00 PM,Bronx,Park,Mullaly Park,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,64.0
Recreation,sin información,08/02/2018 08:15:00 PM,Bronx,Park,Haffen Park,Movies Under The Stars: Remember The Titans,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,07/20/2018 09:00:00 PM,Staten Island,Park,De Matti Park,Movies Under the Stars: Flubber,Community Based Event,Mobile Unit,Movies,General Public,40.0
Recreation,sin información,07/20/2018 09:00:00 PM,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: TMNT: Out of the Shadows,Community Based Event,Mobile Unit,Movies,General Public,65.0
Recreation,sin información,07/20/2018 09:00:00 PM,Staten Island,Park,Conference House Park,Movies Under the Stars:Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,125.0
Recreation,sin información,08/03/2018 08:30:00 PM,Queens,Park,Crocheron Park,"Movies Under the Stars ""Justice League""",Community Based Event,Mobile Unit,Movies,General Public,118.0
Recreation,sin información,07/24/2018 08:30:00 PM,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,140.0
Recreation,sin información,06/16/2018 08:30:00 PM,Queens,Playground,Electric Playground,MUTS - Moana,Community Based Event,Mobile Unit,Movies,General Public,138.0
Recreation,sin información,07/25/2018 08:30:00 PM,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: Bye Bye Birdie,Community Based Event,Mobile Unit,Movies,General Public,5.0
Recreation,sin información,07/26/2018 08:30:00 PM,Staten Island,Park,Faber Pool and Park,Movies Under the Stars: Jurassic,Community Based Event,Mobile Unit,Movies,General Public,100.0
Recreation,sin información,07/27/2018 08:30:00 PM,Staten Island,Park,Wolfe's Pond Park,Movies Under the Stars: Pitch Perfect 2,Community Based Event,Mobile Unit,Movies,General Public,75.0
Recreation,sin información,07/28/2018 08:30:00 PM,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: Justice League,Community Based Event,Mobile Unit,Movies,General Public,45.0
Recreation,sin información,07/28/2018 08:30:00 PM,Staten Island,Other,Timoshenko,Movies Under the Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,100.0
Recreation,sin información,07/31/2018 08:30:00 PM,Staten Island,Park,Bloomingdale Park,Movies Under the Stars: Pirates of the Caribbean,Community Based Event,Mobile Unit,Movies,General Public,100.0
Recreation,sin información,08/02/2018 08:00:00 PM,Brooklyn,Park,Herbert Von King Park,"Movies Under the Stars "" Thor : Ragnarok""",Community Based Event,Mobile Unit,Movies,General Public,200.0
Recreation,sin información,08/01/2018 08:15:00 PM,Bronx,Playground,Loreto Playground,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,44.0
Recreation,Councilman Cohen,07/31/2018 08:15:00 PM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: The Lion King,Community Based Event,Mobile Unit,Movies,General Public,236.0
Recreation,sin información,07/31/2018 11:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,Movies Under The Stars: Justice League & Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,250.0
Recreation,sin información,07/28/2018 08:30:00 PM,Bronx,Park,Van Cortlandt Park,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,125.0
Recreation,sin información,07/26/2018 08:15:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,54.0
Recreation,sin información,08/01/2018 08:30:00 PM,Queens,Park,Flushing Meadows Corona Park,"Movies Under the Stars ""Black Panther""",Community Based Event,Mobile Unit,Movies,General Public,327.0
Recreation,sin información,07/28/2018 08:00:00 PM,Manhattan,Playground,Frederick Douglass Playground,Movies Under the Stars: Valerian and the City of a Thousand Planets,Community Based Event,Mobile Unit,Movies,General Public,96.0
Recreation,sin información,08/01/2018 06:00:00 PM,Manhattan,Park,De Witt Clinton Park,Movies Under the Stars: Gifted,Community Based Event,Mobile Unit,Movies,General Public,146.0
Recreation,sin información,07/31/2018 06:00:00 PM,Manhattan,Park,Washington Square Park,Dance Away the Night Series: Strictly Tango Nights!,Community Based Event,Performance,Dance,General Public,285.0
Recreation,sin información,07/31/2018 08:00:00 PM,Manhattan,Playground,St. Nicholas Playground North,Movies Under the Stars: Justice League,Community Based Event,Mobile Unit,Movies,General Public,153.0
Recreation,sin información,07/31/2018 08:30:00 AM,Queens,Park,Yellowstone Park,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,167.0
Recreation,sin información,07/30/2018 08:00:00 PM,Brooklyn,Playground,50 Kent,Movies Under the Stars: King Kong,Community Based Event,Mobile Unit,Movies,General Public,200.0
Recreation,sin información,07/30/2018 08:30:00 PM,Queens,Park,Highland Park,"Movies Under the Stars ""The Incredibles""",Community Based Event,Mobile Unit,Movies,General Public,314.0
Recreation,sin información,07/29/2018 08:30:00 PM,Queens,Other,Beach 94th Street,"Movies Under the Stars ""The Little Mermaid""",Community Based Event,Mobile Unit,Movies,General Public,260.0
Recreation,sin información,07/28/2018 08:30:00 PM,Queens,Park,O'Donohue Park,"Movies Under the Stars ""Star Wars: The Last Jedi""",Community Based Event,Mobile Unit,Movies,General Public,216.0
Recreation,sin información,07/27/2018 08:30:00 PM,Queens,Playground,Playground for All Children,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,07/28/2018 08:00:00 PM,Manhattan,Playground,Frederick Douglass Playground,Movies Under the Stars: Valerian and the City of a Thousand Planets,Community Based Event,Mobile Unit,Movies,General Public,95.0
Recreation,sin información,07/26/2018 08:00:00 PM,Manhattan,Playground,Asser Levy Playground,Movies Under the Stars: Loving Vincent And Paint Night,Community Based Event,Mobile Unit,Movies,General Public,215.0
Recreation,sin información,07/24/2018 06:00:00 PM,Manhattan,Park,Washington Square Park,Dance Away the Night Series: Strictly Tango Nights!,Community Based Event,Arts/Culture,Dance,General Public,175.0
Recreation,sin información,07/24/2018 08:00:00 PM,Manhattan,Playground,Nathan Straus Playground,Movies Under the Stars: Justice League,Community Based Event,Mobile Unit,Movies,General Public,45.0
Recreation,sin información,10/31/2017 06:00:00 PM,Brooklyn,Recreation Center,McCarren Play Center,Tots Halloween Event,Local Event,Arts/Culture,Play,Tot;#Children,80.0
Recreation,sin información,10/28/2017 05:00:00 PM,Staten Island,Park,Clove Lakes Park,Howl-oween Event,Local Event,Arts/Culture,Play,Children;#Young Adult;#Teens;#Adults,130.0
Recreation,sin información,10/31/2017 06:00:00 PM,Staten Island,Playground,Cedar Grove Playground,Haunting We Will Go,Local Event,Arts/Culture,Play,Tot;#Children;#Young Adult;#Adults;#Teens,80.0
Recreation,sin información,11/04/2017 10:00:00 AM,Staten Island,Park,Macombs Dam Park,Citywide Flag Football Championship,Tournament/Competition,Sport,Tier 1,Tot;#Teens,400.0
Recreation,sin información,11/04/2017 10:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,Citywide Flag Football Championship,Tournament/Competition,Sport,Tier 1,Teens;#Children,400.0
Recreation,sin información,07/28/2018 08:00:00 PM,Brooklyn,Park,Marine Park,Movies Under the Stars : The Incredibles,Community Based Event,Mobile Unit,Movies,General Public,170.0
Recreation,sin información,06/27/2018 08:30:00 PM,Bronx,Recreation Center,Hunts Point Recreation Center,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,63.0
Recreation,sin información,05/26/2018 08:15:00 PM,Bronx,Park,Crotona Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,31.0
Recreation,sin información,07/28/2018 10:30:00 AM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Learn to play Pickleball,Community Based Event,Sport,Tier 3,Teens;#Seniors;#Adults;#Young Adult;#Children;#Tot,11.0
Recreation,sin información,07/26/2018 08:30:00 PM,Queens,Park,Alley Pond Park,"Movies Under the Stars ""Zootopia""",Community Based Event,Mobile Unit,Movies,General Public,412.0
Recreation,sin información,07/27/2018 08:30:00 PM,Bronx,Park,Concrete Plant Park,Movies Under The Stars: Leap,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,Council Member Gibson,07/27/2018 08:30:00 PM,Bronx,Playground,Merriam Playground,Movies Under The Stars: A Wrinkle In Time,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,10/31/2017 10:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,Owen Dolen's Family Friendly Haunted House,Local Event,Arts/Culture,Play,Tot;#Children;#Teens,230.0
Recreation,sin información,11/17/2017 02:00:00 PM,Brooklyn,Recreation Center,McCarren Play Center,Tots Thanksgiving Lunch,Local Event,Arts/Culture,Play,Tot;#Children;#Adults,112.0
Recreation,sin información,11/16/2017 10:00:00 AM,Manhattan,Other,Swidish Cottage,3 Bears puppet show,Local Event,Performance,Play,Tot;#Adults,12.0
Recreation,sin información,11/22/2017 06:00:00 PM,Bronx,Recreation Center,St. James Recreation Center,International Thanksgiving Celebration,Local Event,Arts/Culture,sin información,Adults;#Seniors,25.0
Recreation,sin información,11/07/2017 10:00:00 AM,Brooklyn,Park,Betsy Head Park,Fall Field Day,Local Event,Fitness,Play,Children,150.0
Recreation,sin información,12/18/2017 02:00:00 PM,Brooklyn,Recreation Center,McCarren Play Center,Tots Drive in Movie,Local Event,Arts/Culture,Movies,Tot,115.0
Recreation,sin información,12/08/2017 06:00:00 PM,Bronx,Recreation Center,Owen Dolen Recreation Center,Literacy Day,Local Event,Academic/Out of School time,Lecture/Panel/Talk,Tot;#Children;#Teens,35.0
Recreation,sin información,12/22/2017 10:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,Christmas Celebration,Local Event,Arts/Culture,Play,Tot;#Children;#Young Adult;#Adults;#Teens;#Seniors,60.0
Recreation,sin información,04/01/2018 10:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,Toddler's Day,Local Event,Family Festival,Play,Tot,60.0
Recreation,sin información,05/04/2018 12:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,Mommy and Me Tea Party,Local Event,Arts/Culture,Play,Adults;#Children;#Teens,35.0
Recreation,sin información,06/01/2018 10:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,Owen Dolen Annual Award Ceremony,Local Event,Performance,Awards,Tot;#Children;#Young Adult;#Adults;#Teens;#Seniors,150.0
Recreation,sin información,06/01/2018 09:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,Owen Dolen Annual Awards Ceremony,Local Event,Performance,Awards,Young Adult;#Teens,150.0
Recreation,ASPCA,07/26/2018 08:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars: Throwback Series - The Lion King,Community Based Event,Performance,Movies,Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,172.0
Recreation,sin información,07/25/2018 08:30:00 PM,Bronx,Park,Tremont Park,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,07/26/2018 08:00:00 PM,Brooklyn,Park,Wingate Park,Movies Under the Stars : Star Wars The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,112.0
Recreation,sin información,07/24/2018 08:30:00 PM,Bronx,Park,Franz Sigel Park,Movies Under The Stars: Captain Underpants,Community Based Event,Mobile Unit,Movies,General Public,14.0
Recreation,Councilman Cohen,07/24/2018 08:30:00 PM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Boss Baby,Community Based Event,Mobile Unit,Movies,General Public,104.0
Recreation,sin información,05/26/2018 08:15:00 PM,Bronx,Park,Crotona Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,43.0
Recreation,sin información,07/23/2018 08:30:00 PM,Queens,Park,Forest Park Bandshell,"Movies Under the Stars ""Grease""",Community Based Event,Mobile Unit,Movies,General Public,342.0
Recreation,sin información,06/30/2018 08:30:00 PM,Queens,Other,Rory Staunton Field,"Movies Under the Stars ""An American Tail""",Community Based Event,Mobile Unit,Movies,General Public,101.0
Recreation,sin información,06/29/2018 08:30:00 PM,Queens,Playground,Paul Raimonda Playground,"Movies Under the Stars ""Wonder""",Community Based Event,Mobile Unit,Movies,General Public,194.0
Recreation,sin información,06/28/2018 08:30:00 PM,Queens,Playground,Conch Playground,"Movies Under the Stars ""Ferdinand""",Community Based Event,Mobile Unit,Movies,General Public,23.0
Recreation,sin información,06/27/2018 08:30:00 PM,Queens,Park,Unisphere - FMCP,"Movies Under the Stars ""Jumanji""",Community Based Event,Mobile Unit,Movies,General Public,167.0
Recreation,sin información,06/26/2018 08:30:00 PM,Queens,Playground,Russell Sage Playground,"Movies Under the Stars ""The Lion King""",Community Based Event,Mobile Unit,Movies,General Public,326.0
Recreation,sin información,06/23/2018 08:30:00 PM,Queens,Other,Sean's Place,"Movies Under the Stars ""Lego: Ninjago""",Community Based Event,Mobile Unit,Movies,General Public,54.0
Recreation,sin información,06/15/2018 08:30:00 PM,Queens,Playground,Playground Ninety,"Movies Under the Stars ""The Book of Life""",Community Based Event,Mobile Unit,Movies,General Public,171.0
Recreation,sin información,07/20/2018 06:00:00 PM,Manhattan,Park,Jackie Robinson Bandshell,Taikoza Concert,Community Based Event,Performance,Music,General Public,55.0
Recreation,sin información,07/20/2018 08:00:00 PM,Manhattan,Playground,Dry Dock Playground,Movies Under the Stars: The Jungle Book,Community Based Event,Mobile Unit,Movies,General Public,369.0
Recreation,sin información,07/19/2018 11:00:00 AM,Manhattan,Playground,Anne Loftus Playground,Summer Festival,Community Based Event,Family Festival,Play,Tot;#Young Adult;#Teens;#Children;#General Public,689.0
Recreation,sin información,07/19/2018 08:00:00 PM,Manhattan,Playground,Playground 103 CIII,Movies Under the Stars: Lion,Community Based Event,Mobile Unit,Movies,General Public,189.0
Recreation,sin información,07/18/2018 08:00:00 PM,Manhattan,Park,Hamilton Fish Park,Movies Under the Stars: Moana,Community Based Event,Mobile Unit,Movies,General Public,196.0
Recreation,sin información,07/17/2018 11:00:00 AM,Manhattan,Playground,Imagination Playground,Puppet Mobile,Community Based Event,Performance,Play,General Public,150.0
Recreation,sin información,07/14/2018 06:00:00 PM,Manhattan,Playground,Playground Eighty Nine LXXXIX,Movies Under the Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,325.0
Recreation,Bike NYC,07/14/2018 11:00:00 AM,Manhattan,Playground,Matthew P. Sapolin Playground,Learn to Ride,Community Based Event,Fitness,Fitness,General Public;#Young Adult;#Children;#Tot;#Teens,36.0
Recreation,sin información,07/14/2018 06:00:00 PM,Manhattan,Park,Highbridge Park,Taikoza Concert,Community Based Event,Performance,Music,General Public,65.0
Recreation,sin información,07/13/2018 08:00:00 PM,Manhattan,Park,Frederick Johnson Park,Movies Under the Stars: Queen of Katwe,Community Based Event,Mobile Unit,Movies,General Public,85.0
Recreation,Commissioner Castro's Office,07/13/2018 04:00:00 PM,Manhattan,Park,Ruppert Park,"Arts and Crafts, Jumbo Games",Community Based Event,Arts/Culture,Play,Children;#Tot;#Young Adult,125.0
Recreation,sin información,07/12/2018 08:00:00 PM,Manhattan,Playground,Tecumseh Playground,Movies Under the Stars: The Space Between Us,Community Based Event,Mobile Unit,Movies,General Public,155.0
Recreation,sin información,07/11/2018 08:00:00 PM,Manhattan,Park,Cherry Tree Park,Movies Under the Stars: The Secret Life of Pets,Community Based Event,Mobile Unit,Movies,General Public,225.0
Recreation,sin información,07/21/2018 11:00:00 AM,Bronx,Other,Burnside Ave between Morris Av & Walton Av,Summer Event,Community Based Event,Mobile Unit,Play,Children;#General Public,200.0
Recreation,sin información,07/20/2018 10:00:00 AM,Bronx,Park,Van Nest Park,Fun Day in the park,Community Based Event,Mobile Unit,Play,General Public;#Children,56.0
Recreation,sin información,07/19/2018 11:00:00 AM,Bronx,Park,Poe Park,sin información,Community Based Event,Mobile Unit,Play,Children;#General Public,10.0
Recreation,sin información,07/18/2018 11:00:00 AM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,sin información,Community Based Event,Mobile Unit,Play,Children;#General Public,40.0
Recreation,sin información,07/14/2018 11:00:00 AM,Bronx,Other,Barnes Av between E 216 & 217 St,Agnes Heywood Family Day,Community Based Event,Mobile Unit,Play,Children;#General Public,16.0
Recreation,sin información,07/13/2018 01:00:00 PM,Bronx,Other,161 street & Melrose ave,Melrose Weekend Walks,Community Based Event,Mobile Unit,Play,General Public,120.0
Recreation,sin información,07/21/2018 08:30:00 PM,Bronx,Park,Crotona Park,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,07/20/2018 08:30:00 PM,Bronx,Park,Ferry Point Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,100.0
Recreation,Council Woman Gibson,07/20/2018 08:30:00 PM,Bronx,Playground,Behagen Playground,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,76.0
Recreation,sin información,07/20/2018 08:30:00 PM,Queens,Other,Beach 59th Street,"MUTS ""Southside with You""",Community Based Event,Mobile Unit,Movies,General Public,82.0
Recreation,sin información,07/19/2018 08:30:00 PM,Queens,Park,Montbellier Park,"MUTS ""Despicable Me 3""",Community Based Event,Mobile Unit,Movies,General Public,57.0
Recreation,sin información,07/19/2018 08:30:00 PM,Bronx,Other,Frank Frisch Field,Movies Under The Stars: Peter Rabbit,Community Based Event,Mobile Unit,Movies,General Public,72.0
Recreation,sin información,07/19/2018 08:00:00 PM,Brooklyn,Park,Cooper Park,Movies Under the Stars : Justice League,Community Based Event,Mobile Unit,Movies,General Public,325.0
Recreation,sin información,07/19/2018 08:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars Throwback Series,Community Based Event,Arts/Culture,Movies,Tot;#Children;#Young Adult;#Adults;#Teens;#General Public;#Seniors;#Adaptive,120.0
Recreation,sin información,07/18/2018 08:00:00 PM,Brooklyn,Park,Carroll Park,Movies Under the Stars : Mary Poppin,Community Based Event,Mobile Unit,Movies,General Public,200.0
Recreation,sin información,07/18/2018 08:30:00 PM,Bronx,Park,Poe Park,Movies Under The Stars: Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,90.0
Recreation,Councilman Cohen,07/18/2018 08:30:00 PM,Bronx,Park,Seton Park,Movies Under The Stars: ET The Extra Terrestrial,Community Based Event,Mobile Unit,Movies,General Public,70.0
Recreation,sin información,08/11/2018 09:30:00 AM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Grace and Gratitude,Community Based Event,Family Festival,AC&F,Tot;#Children;#Young Adult;#Adults,0.0
Recreation,sin información,08/25/2018 10:00:00 AM,Manhattan,Park,West 4th Park,Greenwich Handball Tournament,Tournament/Competition,Sport,Tier 3,Young Adult;#Adults;#Teens,18.0
Recreation,sin información,07/18/2018 08:30:00 PM,Queens,Park,Flushing Meadows Corona Park,"MUTS ""Wonder Woman""",Community Based Event,Mobile Unit,Movies,General Public,372.0
Recreation,Ocean Breeze Athletic Complex,07/25/2018 07:00:00 PM,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Twilight Run,Community Based Event,Fitness,Tier 2,General Public,0.0
Recreation,Ocean Breeze Athletic Complex,07/18/2018 07:00:00 PM,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Twilight Run,Community Based Event,Fitness,Tier 2,General Public,0.0
Recreation,sin información,07/14/2018 09:00:00 PM,Staten Island,Other,Cedar Grove Meadow,Movies Under the Stars: Peter Rabbit,Community Based Event,Mobile Unit,Movies,General Public,125.0
Recreation,sin información,07/14/2018 09:00:00 PM,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: Rouge One: A Star Wars Story,Community Based Event,Mobile Unit,Movies,General Public,40.0
Recreation,sin información,07/13/2018 09:00:00 PM,Staten Island,Park,Faber Pool and Park,Movies Under the Stars: Hook,Community Based Event,Mobile Unit,Movies,General Public,35.0
